id,name,title,sourceUrl,date,sensorGeneration,compatibleCameras,parseStatus,settingCount,filmSimulation,dynamicRange,grainEffect,colorChromeEffect,colorChromeFxBlue,whiteBalance,highlight,shadow,color,sharpness,highIsoNr,clarity,iso,exposureCompensation
kodak-vision3-250d-v2,Kodak Vision3 250D v2,Kodak Vision3 250D v2 - Kodak Vision3 250D v2 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/12/19/kodak-vision3-250d-v2-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"December 19, 2023",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR200,"Strong, Small",Strong,Off,"Fluorescent 1, -5 Red & 0 Blue",+4,+3,-1,-2,-4,-2,"Auto, up to ISO 6400",0 to +2/3 (typically)
appalachian-negative,Appalachian Negative,Appalachian Negative - Appalachian Negative - Fujifilm X100VI (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/06/18/appalachian-negative-fujifilm-x100vi-x-trans-v-film-simulation-recipe/,"June 18, 2024",X-Trans V,X100VI,ok,14,Nostalgic Neg.,DR400,"Weak, Large",Strong,Weak,"5200K, +2 Red & -2 Blue",-1.5,0,+4,+2,-4,0,"Auto, up to ISO 6400",+2/3 to +1 1/3 (typically)
agfa-ultra-100-v2,Agfa Ultra 100 v2,Agfa Ultra 100 v2 - Agfa Ultra 100 v2 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/02/20/agfa-ultra-100-v2-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"February 20, 2024",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR400,"Weak, Large",Weak,Weak,"5800K, -3 Red & -3 Blue",+1.5,+1,+3,-2,-4,-2,"Auto, up to ISO 6400",0 to +1 (typically)
creating-your-own-film-simulation-recipe-for-a-unique-look-emulsion-86-a-fujifilm-x-t5-x-trans-v-film-simulation-recipe,"Creating Your Own Film Simulation Recipe for a Unique Look + Emulsion '86, a Fujifilm X-T5 (X-Trans V) Film Simulation Recipe","Creating Your Own Film Simulation Recipe for a Unique Look + Emulsion '86, a Fujifilm X-T5 (X-Trans V) Film Simulation Recipe - Creating Your Own Film Simulation Recipe for a Unique Look + Emulsion '86, a Fujifilm X-T5 (X-Trans V) Film Simulation Recipe",https://fujixweekly.com/2023/01/07/creating-your-own-film-simulation-recipe-for-a-unique-look-emulsion-86-a-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"January 7, 2023",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR400,"Strong, Small",Strong,Off,"Daylight, +2 Red & -1 Blue",-2,+2,+4,-2,-4,-3,"Auto, up to ISO 6400",+2/3 to +1-1/3 (typically)
summer-of-1960,Summer of 1960,Summer of 1960 - Summer of 1960 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/03/22/summer-of-1960-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"March 22, 2023",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR400,"Strong, Small",Off,Strong,"5250K, -3 Red & -5 Blue",+4,+2,+3,-4,-4,-3,"Auto, up to ISO 6400",+1/3 to +1 (typically)
1976-kodak,1976 Kodak,1976 Kodak - 1976 Kodak - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/08/03/1976-kodak-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"August 3, 2023",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR200,"Strong, Small",Strong,Off,"Auto, -2 Red & -4 Blue",+1.5,+3,+4,-2,-4,-3,"Auto, up to ISO 6400",+1/3 to +1 (typically)
nostalgic-air-a-fujifilm-recipe-for-x-trans-v-cameras,Nostalgic Air - A Fujifilm Recipe for X-Trans V Cameras,Nostalgic Air - A Fujifilm Recipe for X-Trans V Cameras - Nostalgic Air - A Fujifilm Recipe for X-Trans V Cameras,https://fujixweekly.com/2026/04/19/nostalgic-air-a-fujifilm-recipe-for-x-trans-v-cameras/,2026-04-19,X-Trans V,X-E5,ok,14,Nostalgic Neg.,DR-Auto,"Strong, Small",Off,Off,"Auto, +5 Red & -1 Blue",-1,0,+4,-2,-4,-3,"Auto, up to ISO 6400",+2/3 to +1 (typically)
summer-of-59-a-fujifilm-recipe-for-fifth-generation-cameras,Summer of '59 - A Fujifilm Recipe for Fifth-Generation Cameras,Summer of '59 - A Fujifilm Recipe for Fifth-Generation Cameras - Summer of '59 - A Fujifilm Recipe for Fifth-Generation Cameras,https://fujixweekly.com/2026/05/02/summer-of-59-a-fujifilm-recipe-for-fifth-generation-cameras/,2026-05-02,X-Trans V,"X-T5, X100VI",ok,14,Eterna,DR400,"Strong, Small",Weak,Strong,"Auto, +4 Red & -8 Blue",+3,+0.5,0,-1,-4,-3,"Auto, up to ISO 6400",-2/3 to +1/3 (typically)
summer-sun,Summer Sun,Summer Sun - Summer Sun - Fujifilm X-E5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2025/06/27/summer-sun-fujifilm-x-e5-x-trans-v-film-simulation-recipe/,"June 27, 2025",X-Trans V,"X-S20, X100VI, X-E5",ok,14,Reala Ace,DR200,"Strong, Small",Strong,Weak,"7200K, -2 Red & +2 Blue",-1,-2,+4,-1,-4,-3,"Auto, up to ISO 6400",0 to +2/3 (typically)
1970-s-summer,1970's Summer,1970's Summer - 1970's Summer - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2022/11/27/1970s-summer-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"November 27, 2022",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR400,"Strong, Large",Strong,Strong,"6500K, -1 Red & -4 Blue",-2,-0.5,-2,-2,-4,-3,"Auto, up to ISO 6400",+1/3 to +1 (typically)
1971-kodak-a-fujifilm-recipe-for-x-trans-v-cameras,1971 Kodak - A Fujifilm Recipe for X-Trans V Cameras,1971 Kodak - A Fujifilm Recipe for X-Trans V Cameras - 1971 Kodak - A Fujifilm Recipe for X-Trans V Cameras,https://fujixweekly.com/2026/03/25/1971-kodak-a-fujifilm-recipe-for-x-trans-v-cameras/,2026-03-25,X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR100,"Weak, Large",Strong,Weak,"5900K, -1 Red & -6 Blue",+2,-2,-2,-4,-4,-4,"Auto, up to ISO 6400",-1/3 to +1/3 (typically)
nostalgic-americana,Nostalgic Americana,Nostalgic Americana - Nostalgic Americana - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/04/29/nostalgic-americana-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"April 29, 2024",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR200,"Strong, Large",Strong,Off,"5800K, -2 Red & -4 Blue",-1,-1.5,-2,-2,-4,-3,"Auto, up to ISO 6400",+1/3 to +2/3 (typically)
kodak-vericolor-vps,Kodak Vericolor VPS,Kodak Vericolor VPS - Kodak Vericolor VPS - Fujifilm X-E5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2025/07/07/kodak-vericolor-vps-fujifilm-x-e5-x-trans-v-film-simulation-recipe/,2025-07-07,X-Trans V,X-E5,ok,14,Nostalgic Neg.,DR400,"Strong, Large",Strong,Strong,"4500K, +2 Red & -5 Blue",-1,+2,+3,-1,-4,-2,"Auto, up to ISO 6400",+1/3 to +1 (typically)
kodak-vericolor-iii-160-a-fujifilm-recipe-for-x-trans-v-cameras,Kodak Vericolor III 160 - A Fujifilm Recipe for X-Trans V Cameras,Kodak Vericolor III 160 - A Fujifilm Recipe for X-Trans V Cameras - Kodak Vericolor III 160 - A Fujifilm Recipe for X-Trans V Cameras,https://fujixweekly.com/2026/02/20/kodak-vericolor-iii-160-a-fujifilm-recipe-for-x-trans-v-cameras/,2026-02-20,X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR-Auto,"Weak, Small",Strong,Strong,"3200K, +7 Red & -8 Blue",-2,-1,+2,-2,-4,-2,"Auto, up to ISO 6400",0 to +2/3 (typically)
kodak-vericolor-warm,Kodak Vericolor Warm,Kodak Vericolor Warm - Kodak Vericolor Warm - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2022/12/12/kodak-vericolor-warm-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"December 12, 2022",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR100,"Weak, Small",Strong,Strong,"3000K, +8 Red & -9 Blue",-2,-1,+2,-2,-4,-2,"Auto, up to ISO 6400",0 to +2/3 (typically)
kodak-negative,Kodak Negative,Kodak Negative - Kodak Negative - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2022/12/22/kodak-negative-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"December 22, 2022",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR400,"Weak, Large",Off,Off,"Auto, +1 Red & -4 Blue",-0.5,+2.5,+4,-1,-4,-3,"Auto, up to ISO 6400",+1/3 to +2/3 (typically)
california-summer,California Summer,California Summer - California Summer - Fujifilm X100VI (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/06/04/california-summer-fujifilm-x100vi-x-trans-v-film-simulation-recipe/,"June 4, 2024",X-Trans V,"X-T5, X100VI, X-T50",ok,14,Nostalgic Neg.,DR400,"Weak, Small",Strong,Weak,"6700K, -1 Red & -6 Blue",-2,-1,+4,-2,-4,-4,"Auto, up to ISO 6400",+2/3 to +1 1/3 (typically)
vibrant-arizona-x-trans-v,Vibrant Arizona,Getting a Wes Anderson Look from your Fujifilm Camera + 4 new Film Simulation Recipes!!!!,https://fujixweekly.com/2023/04/25/getting-a-wes-anderson-look-from-your-fujifilm-camera-4-new-film-simulation-recipes/,"April 25, 2023",X-Trans V,X-T5,ok,12,Classic Chrome,DR-P Strong,"Weak, Small",Off,Weak,"4350K, +6 Red & -8 Blue",,,+4,-2,-4,-3,"Auto, up to ISO 6400",+2/3 to + 1 1/3 (typically)
vibrant-arizona-x-trans-iv,Vibrant Arizona,Getting a Wes Anderson Look from your Fujifilm Camera + 4 new Film Simulation Recipes!!!!,https://fujixweekly.com/2023/04/25/getting-a-wes-anderson-look-from-your-fujifilm-camera-4-new-film-simulation-recipes/,"April 25, 2023",X-Trans IV,X-T5,ok,12,Classic Chrome,DR-P Strong,"Weak, Small",Off,Strong,"4350K, +6 Red & -8 Blue",,,+4,-2,-4,-3,"Auto, up to ISO 6400",+2/3 to + 1 1/3 (typically)
indoor-angouleme-x-trans-v,Indoor Angouleme,Getting a Wes Anderson Look from your Fujifilm Camera + 4 new Film Simulation Recipes!!!!,https://fujixweekly.com/2023/04/25/getting-a-wes-anderson-look-from-your-fujifilm-camera-4-new-film-simulation-recipes/,"April 25, 2023",X-Trans V,X-T5,ok,14,Nostalgic Neg.,DR400,"Weak, Small",Strong,Weak,"Auto Ambience Priority, -2 Red & -6 Blue",-2,-2,-1,-2,-4,-3,"Auto, up to ISO 6400",+2/3 to +1 (typically)
indoor-angouleme-x-trans-iv,Indoor Angouleme,Getting a Wes Anderson Look from your Fujifilm Camera + 4 new Film Simulation Recipes!!!!,https://fujixweekly.com/2023/04/25/getting-a-wes-anderson-look-from-your-fujifilm-camera-4-new-film-simulation-recipes/,"April 25, 2023",X-Trans IV,X-T5,ok,14,Eterna,DR200,"Weak, Small",Strong,Strong,"Auto Ambience Priority, -1 Red & -6 Blue",-1,-1,+4,-2,-4,-3,"Auto, up to ISO 6400",0 to +2/3 (typically)
texas-sun,Texas Sun,Texas Sun - Texas Sun - Fujifilm X-Trans V Film Simulation Recipe,https://fujixweekly.com/2024/12/04/texas-sun-fujifilm-x-trans-v-film-simulation-recipe/,"December 4, 2024",X-Trans V,"X-H2, X-H2S, X100VI",ok,14,Classic Chrome,DR200,"Strong, Small",Strong,Weak,"6500K, +2 Red & -6 Blue",-2,-0.5,+4,-2,-4,0,"Auto, up to ISO 6400",+2/3 to +1 (typically)
pacific-blues,Pacific Blues,Pacific Blues - Pacific Blues - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2022/12/06/pacific-blues-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"December 6, 2022",X-Trans V,X-T5,ok,14,Classic Negative,DR400,"Strong, Large",Strong,Weak,"5800K, +1 Red & -3 Blue",-2,+3,+4,-2,-4,-3,"Auto, up to ISO 6400",+2/3 to +1 (typically)
copenhagen-negative-a-fujifilm-recipe-for-fifth-generation-cameras,Copenhagen Negative - A Fujifilm Recipe for Fifth-Generation Cameras,Copenhagen Negative - A Fujifilm Recipe for Fifth-Generation Cameras - Copenhagen Negative - A Fujifilm Recipe for Fifth-Generation Cameras,https://fujixweekly.com/2026/05/18/copenhagen-negative-a-fujifilm-recipe-for-fifth-generation-cameras/,2026-05-18,X-Trans V,"X-E5, GFX100S II, GFX100RF",ok,14,Classic Negative,DR400,"Strong, Small",Weak,Strong,"5700K, +1 Red & +1 Blue",+2.5,-2,+4,-2,-4,-3,"Auto, up to ISO 6400",0 to -2/3 (typically)
fujicolor-super-hg-v2,Fujicolor Super HG v2,Fujicolor Super HG v2 - Fujicolor Super HG v2 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/07/20/fujicolor-super-hg-v2-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"July 20, 2023",X-Trans V,X-T5,ok,14,Classic Negative,DR400,"Weak, Large",Weak,Weak,"Auto White Priority, -3 Red & -1 Blue",-1,+1,+2,0,-4,+2,"Auto, up to ISO 6400",+2/3 to +1 (typically)
reggie-s-superia-a-fujifilm-recipe-for-x-trans-iv-v-cameras,Reggie's Superia - A Fujifilm Recipe for X-Trans IV & V Cameras,Reggie's Superia - A Fujifilm Recipe for X-Trans IV & V Cameras - Reggie's Superia - A Fujifilm Recipe for X-Trans IV & V Cameras,https://fujixweekly.com/2026/03/12/reggies-superia-a-fujifilm-recipe-for-x-trans-iv-v-cameras/,2026-03-12,X-Trans V,"X-T5, X-E5",ok,13,Classic Negative,DR-Auto,"Strong, Large",Strong,Strong,"Auto, +1 Red & -3 Blue",-2,-1,+1,-2,-4,0,"Auto, up to ISO 6400",
fujicolor-superia-100,Fujicolor Superia 100,Fujicolor Superia 100 - Fujicolor Superia 100 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/07/11/fujicolor-superia-100-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"July 11, 2023",X-Trans V,X-T5,ok,14,Classic Negative,DR-Auto,"Weak, Small",Strong,Off,"Daylight, 0 Red & -1 Blue",-1,-2,+1,-2,-4,-2,"Auto, up to ISO 6400",+1/3 to +2/3 (typically)
reala-ace,Reala Ace,Reala Ace - Reala Ace - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/09/15/reala-ace-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"September 15, 2023",X-Trans V,X-T5,ok,14,Classic Negative,DR400,"Weak, Small",Strong,Strong,"Auto, -1 Red & +1 Blue",-1.5,-2,+2,0,-4,-2,"Auto, up to ISO 6400",-1/3 to +1 (typically)
fujicolor-reala-100,Fujicolor Reala 100,Fujicolor Reala 100 - Fujicolor Reala 100 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/09/06/fujicolor-reala-100-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"September 6, 2023",X-Trans V,X-T5,ok,14,Classic Negative,DR400,"Weak, Small",Strong,Weak,"Daylight, 0 Red & 0 Blue",-1,-1,0,-2,-4,-3,"Auto, up to ISO 6400",0 to +1 (typically)
superia-xtra-400,Superia Xtra 400,Superia Xtra 400 - Superia Xtra 400 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2022/12/09/superia-xtra-400-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"December 9, 2022",X-Trans V,X-T5,ok,14,Classic Negative,DR400,"Strong, Small",Off,Weak,"Auto, +3 Red & -5 Blue",0,-1,+4,-1,-4,-2,"Auto, up to ISO 6400",0 to +1 (typically)
fujicolor-natura-1600,Fujicolor Natura 1600,Fujicolor Natura 1600 - Fujicolor Natura 1600 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/02/29/fujicolor-natura-1600-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"February 29, 2024",X-Trans V,X-T5,ok,14,Classic Negative,DR400,"Strong, Large",Strong,Weak,"5500K, -1 Red & -2 Blue",-1.5,+1.5,-2,-2,-4,-4,"Auto, up to ISO 6400",+1/3 to +1 (typically)
fujicolor-superia-1600,Fujicolor Superia 1600,Fujicolor Superia 1600 - Fujicolor Superia 1600 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2024/02/25/fujicolor-superia-1600-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"February 25, 2024",X-Trans V,X-T5,ok,14,Classic Negative,DR400,"Strong, Large",Strong,Weak,"Daylight, +3 Red & +1 Blue",0,+2,-3,-1,-4,-4,"Auto, up to ISO 6400 - for best results: 1600 to 6400",0 to +1 (typically)
classic-amber,Classic Amber,Classic Amber - Classic Amber - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2025/11/01/classic-amber-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,2025-11-01,X-Trans V,X-T5,ok,14,Classic Negative,DR400,"Weak, Large",Strong,Strong,"Fluorescent 1, +1 Red & -6 Blue",-1.5,+2.5,+4,-2,-4,-3,"Auto, up to ISO 6400",+2/3 to +1 (typically)
kodak-farbwelt-200-expired-a-fujifilm-film-simulation-recipe-for-x-trans-v-cameras,Kodak Farbwelt 200 Expired - A Fujifilm Film Simulation Recipe for X-Trans V Cameras,Kodak Farbwelt 200 Expired - A Fujifilm Film Simulation Recipe for X-Trans V Cameras - Kodak Farbwelt 200 Expired - A Fujifilm Film Simulation Recipe for X-Trans V Cameras,https://fujixweekly.com/2025/12/09/kodak-farbwelt-200-expired-a-fujifilm-film-simulation-recipe-for-x-trans-v-cameras/,2025-12-09,X-Trans V,"X-T5, X-S20, X100VI, X-E5, GFX100S II",ok,14,Classic Chrome,DR100,"Strong, Large",Weak,Strong,"7500K, +1 Red & -4 Blue",-2,-2,-3,-4,-4,-4,"Auto, up to ISO 6400",0 to -1 1/3 (typically)
kodak-portra-160-v2,Kodak Portra 160 v2,Kodak Portra 160 v2 - Kodak Portra 160 v2 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/11/10/kodak-portra-160-v2-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"November 10, 2023",X-Trans V,X-T5,ok,12,Classic Chrome,D-Range Priority (DR-P) Auto,"Weak, Small",Weak,Weak,"Daylight, +4 Red & -5 Blue",,,0,-1,-4,-2,"Auto, up to ISO 6400",+1/3 to +1 (typically)
kodak-portra-400-v2,Kodak Portra 400 v2,Kodak Portra 400 v2 - Kodak Portra 400 v2 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2022/12/16/kodak-portra-400-v2-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"December 16, 2022",X-Trans V,X-T5,ok,14,Classic Chrome,DR400,"Strong, Small",Strong,Off,"5200K, +1 Red & -6 Blue",0,-2,+2,-2,-4,-2,"Auto, up to ISO 6400",+1/3 to +1 (typically)
kodak-pro-400,Kodak Pro 400,Kodak Pro 400 - Kodak Pro 400 - Fujifilm X-Trans V Film Simulation Recipe,https://fujixweekly.com/2025/09/06/kodak-pro-400-fujifilm-x-trans-v-film-simulation-recipe/,2025-09-06,X-Trans V,"X-T5, X100VI",ok,14,Reala Ace,DR400,"Strong, Small",Off,Strong,"5200K, +2 Red & -3 Blue",-2,0,+1,-2,-4,-2,"Auto, up to ISO 6400",+1/3 to +1 (typically)
kodak-portra-800-v3,Kodak Portra 800 v3,Kodak Portra 800 v3 - Kodak Portra 800 v3 - Fujifilm X-T5 (X-Trans V) & X-E4 (X-Trans IV) Film Simulation Recipe,https://fujixweekly.com/2024/02/14/kodak-portra-800-v3-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe/,"February 14, 2024",X-Trans V,X-T5,ok,14,Classic Chrome,DR400,"Strong, Large",Strong,Off (X-Trans V); Weak (X-Trans IV),"6600K, -1 Red & -3 Blue",-2,-0.5,+3,-2,-4,-3,"Auto, up to ISO 6400",+1/3 to +1 1/3 (typically)
kodak-ultramax-400-a-film-simulation-recipe-for-the-fujifilm-x-t5-x-trans-v,Kodak Ultramax 400 - A Film Simulation Recipe for the Fujifilm X-T5 (X-Trans V),Kodak Ultramax 400 - A Film Simulation Recipe for the Fujifilm X-T5 (X-Trans V) - Kodak Ultramax 400 - A Film Simulation Recipe for the Fujifilm X-T5 (X-Trans V),https://fujixweekly.com/2023/01/17/kodak-ultramax-400-a-film-simulation-recipe-for-the-fujifilm-x-t5-x-trans-v/,"January 17, 2023",X-Trans V,X-T5,ok,14,Classic Chrome,DR-Auto,"Strong, Large",Weak,Off,"Auto, +1 Red & -5 Blue",+1,+1,+4,0,-4,+3,"Auto, up to ISO 6400",+1/3 to +1 (typically)
kodak-gold-200,Kodak Gold 200,Kodak Gold 200 - Kodak Gold 200 - Fujifilm X-T5 (X-Trans V) Film Simulation Recipe,https://fujixweekly.com/2023/10/24/kodak-gold-200-fujifilm-x-t5-x-trans-v-film-simulation-recipe/,"October 24, 2023",X-Trans V,X-T5,ok,14,Classic Chrome,DR400,"Strong, Small",Weak,Off,"Daylight, +4 Red & -5 Blue",-1.5,+0.5,+3,-2,-4,-2,"Auto, up to ISO 6400",+2/3 to +1 (typically)
kodak-royal-gold-400,Kodak Royal Gold 400,Kodak Royal Gold 400 - Kodak Royal Gold 400 - Fujifilm X-Trans IV & X-Trans V Film Simulation Recipe,https://fujixweekly.com/2024/03/06/kodak-royal-gold-400-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe/,"March 6, 2024",X-Trans V,X-T5,ok,14,Classic Negative,DR400,"Strong, Small",Strong,"Strong (X-Trans IV), Weak (X-Trans V)","Shade, +3 Red & +5 Blue",-1,+1,+4,-1,-4,-3,"Auto, up to ISO 6400",+1/3 to +2/3 (typically)
